Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ)
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 100000 0 no-load-balancer",90.40182014009915,1041,15551883.134940803,1405883580.777987
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 200000 0 no-load-balancer",179.90667720030177,2071,15721439.831117848,2828335965.1882815
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 50000 0 no-load-balancer",46.07154842720047,522,15451921.547108302,711849420.1885351
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 200 500000 0 no-load-balancer",444.9133250570987,5135,15793350.63024577,7026608401.027272
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 400 100000 0 no-load-balancer",178.2510126174966,1932,17177961.78396565,3061808373.4922576
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 400 200000 0 no-load-balancer",353.30133449709973,3842,17267328.207999505,6100382442.726387
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 400 50000 0 no-load-balancer",89.90600963509932,970,17092641.767243244,1536664537.458377
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 2 400 500000 0 no-load-balancer",877.8053030708004,9606,17452423.54874764,15319151066.797108
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 200 100000 0 no-load-balancer",78.14442958139989,877,17978589.089060556,1404843213.6629107
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 200 200000 0 no-load-balancer",153.66953765210346,1731,18135685.21604804,2786709439.8804626
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 200 50000 0 no-load-balancer",39.32756707400258,442,17660124.587766018,694474859.344169
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 200 500000 0 no-load-balancer",385.1150908155978,4351,18118565.521222383,6977544744.196132
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 400 100000 0 no-load-balancer",157.731476987098,1651,20005293.518959865,3155408729.9596634
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 400 200000 0 no-load-balancer",312.32474262080507,3276,20134434.46703414,6288457373.287333
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 400 50000 0 no-load-balancer",78.50122488520574,818,19979688.839994945,1568297715.2770867
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 4 400 500000 0 no-load-balancer",782.1447578297026,8163,20296466.70342452,15874748290.282154
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 200 100000 0 no-load-balancer",79.29399839470571,871,18362093.066561017,1455958917.2627492
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 200 200000 0 no-load-balancer",157.00120870189568,1741,18340817.594726246,2879426965.977208
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 200 50000 0 no-load-balancer",39.71451908000163,436,18103274.598691937,718923361.5549392
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 200 500000 0 no-load-balancer",392.232034121998,4348,18510183.668646257,7259980701.093457
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 400 100000 0 no-load-balancer",165.50954755789718,1664,20574847.474496406,3405268532.7117796
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 400 200000 0 no-load-balancer",331.0255994954961,3321,20807267.995042622,6887411691.657893
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 400 50000 0 no-load-balancer",82.4024098143971,830,20412972.445812576,1681967570.8508458
deploy_ping_pong_lb,main,"['node1@localhost','node2@localhost','node3@localhost','node4@localhost','node5@localhost','node6@localhost','node7@localhost','node8@localhost'] 8 400 500000 0 no-load-balancer",819.0398263111013,8260,20840072.43666363,17068640679.393286
